Property_ID,City,Locality,Property_Type,Bedrooms,Bathrooms,Area_sqft,Price,Property_Age,Furnishing,Parking,Sale_Status,Sale_Date,Price_per_sqft,Property_Age_Group
P102546,Kolkata,South,Apartment,4,2,1889,12205967.0,8,Unfurnished,No,Sold,2024-06-18,6461.602435150873,6-10 Years
P102547,Bangalore,North,Apartment,4,1,1481,14974787.0,5,Semi-Furnished,No,Sold,2022-05-23,10111.267386900743,0-5 Years
P102548,Delhi,North,Apartment,4,4,2452,26975277.0,20,Unfurnished,No,Sold,2023-01-05,11001.336460032626,11-20 Years
P102549,Bangalore,Central,Studio,3,4,2300,38136867.0,16,Furnished,Yes,Available,,16581.24652173913,11-20 Years
P102550,Chennai,West,Builder Floor,1,4,2221,29400539.0,21,Unfurnished,No,Sold,2022-08-20,13237.523187753264,20+ Years
P102551,Bangalore,North,Apartment,5,1,3310,25490353.0,20,Furnished,No,Sold,2023-01-05,7701.012990936556,11-20 Years
P102552,Bangalore,West,Apartment,5,2,664,38161371.0,24,Unfurnished,No,Sold,2022-04-26,57471.944277108436,20+ Years
P102553,Mumbai,Central,Villa,2,2,1672,8252730.0,6,Furnished,Yes,Sold,2023-10-07,4935.843301435407,6-10 Years
P102554,Bangalore,West,Builder Floor,1,4,2542,5167220.0,15,Furnished,Yes,Sold,2022-07-19,2032.7380015735641,11-20 Years
P102555,Kolkata,Central,Villa,1,3,2286,18080386.0,18,Furnished,No,Sold,2023-08-04,7909.1802274715665,11-20 Years
P102556,Mumbai,Central,Builder Floor,3,2,2232,22896089.0,4,Unfurnished,Yes,Sold,2023-09-25,10258.104390681003,0-5 Years
P102557,Pune,East,Apartment,4,2,3266,34167142.0,21,Furnished,No,Sold,2023-01-02,10461.464176362522,20+ Years
P102558,Delhi,West,Studio,1,2,1096,13990092.0,17,Unknown,Yes,Sold,2023-05-26,12764.682481751825,11-20 Years
P102559,Mumbai,South,Villa,4,1,1880,40545996.0,6,Furnished,No,Available,,21567.01914893617,6-10 Years
P102560,Chennai,East,Studio,3,2,1140,36117559.0,24,Semi-Furnished,No,Sold,2022-10-21,31682.069298245613,20+ Years
P102561,Pune,Central,Studio,2,4,2764,44481475.0,24,Furnished,No,Available,,16093.153039073806,20+ Years
P102562,Mumbai,South,Studio,2,2,1173,13551224.0,4,Semi-Furnished,Yes,Sold,2021-12-12,11552.62063086104,0-5 Years
P102563,Mumbai,North,Builder Floor,4,4,518,22851739.0,7,Furnished,No,Sold,2023-10-31,44115.32625482626,6-10 Years
P102564,Delhi,North,Builder Floor,4,3,2169,33178363.0,8,Unknown,No,Sold,2024-12-03,15296.617335177501,6-10 Years
P102565,Kolkata,East,Studio,1,1,3241,15217390.0,21,Furnished,Yes,Sold,2021-07-07,4695.276149336624,20+ Years
P102566,Chennai,South,Apartment,3,3,2649,18882060.0,19,Furnished,Yes,Available,,7127.995469988675,11-20 Years
P102567,Hyderabad,West,Apartment,2,2,3524,25959593.0,3,Furnished,Yes,Sold,2024-10-03,7366.513337116912,0-5 Years
P102568,Hyderabad,South,Studio,1,3,2764,41764292.0,2,Unfurnished,No,Available,,15110.091172214183,0-5 Years
P102569,Mumbai,East,Villa,5,2,1667,39232227.0,11,Unfurnished,No,Sold,2022-08-03,23534.629274145173,11-20 Years
P102570,Bangalore,West,Villa,1,4,1517,35304658.0,8,Unfurnished,Yes,Available,,23272.681608437706,6-10 Years
P102571,Chennai,West,Builder Floor,4,2,3751,11707327.0,9,Semi-Furnished,No,Available,,3121.121567581978,6-10 Years
P102572,Pune,North,Villa,5,1,3563,40481838.0,10,Furnished,No,Sold,2023-12-28,11361.728318832445,6-10 Years
P102573,Bangalore,South,Apartment,1,3,1212,20376808.0,15,Furnished,Yes,Sold,2022-09-11,16812.54785478548,11-20 Years
P102574,Bangalore,West,Studio,3,2,437,40838619.0,10,Furnished,No,Sold,2024-06-27,93452.21739130435,6-10 Years
P102575,Chennai,East,Villa,2,4,2860,5998499.0,21,Semi-Furnished,Yes,Sold,2021-11-21,2097.3772727272726,20+ Years
P102576,Kolkata,North,Studio,5,3,642,24636592.0,7,Semi-Furnished,Yes,Available,,38374.753894081,6-10 Years
P102577,Mumbai,West,Villa,3,1,1787,39440000.0,13,Unknown,No,Sold,2023-02-04,22070.509233351986,11-20 Years
P102578,Mumbai,South,Builder Floor,1,2,2398,33274059.0,1,Semi-Furnished,No,Available,,13875.754378648873,0-5 Years
P102579,Mumbai,North,Apartment,4,1,3535,22335465.0,3,Unfurnished,No,Sold,2021-12-09,6318.377652050919,0-5 Years
P102580,Mumbai,South,Builder Floor,4,4,1254,31810585.0,14,Semi-Furnished,No,Sold,2024-06-25,25367.292663476874,11-20 Years
P102581,Hyderabad,South,Studio,3,3,2648,37145923.0,17,Semi-Furnished,No,Sold,2021-11-18,14027.916540785498,11-20 Years
P102582,Mumbai,South,Apartment,4,3,2754,25000908.0,10,Semi-Furnished,No,Available,,9078.0348583878,6-10 Years
P102583,Hyderabad,North,Apartment,2,3,2197,4629755.0,18,Semi-Furnished,No,Sold,2023-09-29,2107.3076923076924,11-20 Years
P102584,Hyderabad,West,Builder Floor,3,4,574,21410267.0,17,Unfurnished,No,Sold,2023-11-01,37300.11672473868,11-20 Years
P102585,Kolkata,Central,Villa,3,2,2112,8878380.0,8,Furnished,No,Available,,4203.778409090909,6-10 Years
P102586,Mumbai,West,Builder Floor,4,2,3419,8498263.0,24,Semi-Furnished,No,Sold,2023-05-12,2485.5990055571806,20+ Years
P102587,Delhi,North,Studio,3,2,3463,7447067.0,21,Unfurnished,Yes,Sold,2022-08-21,2150.466936182501,20+ Years
P102588,Pune,Central,Villa,1,1,3441,40955456.0,22,Unfurnished,No,Sold,2021-05-05,11902.195873292647,20+ Years
P102589,Bangalore,Central,Builder Floor,5,4,3044,41154626.0,4,Unfurnished,No,Available,,13519.916557161629,0-5 Years
P102590,Hyderabad,Central,Builder Floor,5,3,1071,17752277.0,9,Furnished,No,Sold,2022-04-10,16575.42203548086,6-10 Years
P102591,Chennai,East,Villa,4,4,1093,7279636.0,16,Semi-Furnished,Yes,Sold,2023-01-05,6660.234217749314,11-20 Years
P102592,Chennai,North,Villa,2,4,947,16164058.0,19,Furnished,No,Sold,2024-06-07,17068.699049630413,11-20 Years
P102593,Pune,East,Villa,2,4,2280,7138900.0,12,Unfurnished,No,Sold,2021-12-22,3131.09649122807,11-20 Years
P102594,Chennai,Central,Builder Floor,4,3,1522,24369045.0,3,Furnished,No,Sold,2023-09-09,16011.199080157687,0-5 Years
P102595,Delhi,East,Villa,4,3,3697,9773132.0,13,Unfurnished,No,Sold,2021-03-31,2643.530430078442,11-20 Years
P102596,Chennai,East,Villa,3,1,2996,18721039.0,7,Unfurnished,Yes,Sold,2021-12-27,6248.677903871829,6-10 Years
P102597,Bangalore,North,Villa,2,4,672,12705239.0,20,Semi-Furnished,No,Available,,18906.605654761905,11-20 Years
P102598,Bangalore,South,Apartment,5,2,3423,29919184.0,14,Unfurnished,Yes,Sold,2021-03-24,8740.632193981888,11-20 Years
P102599,Hyderabad,East,Studio,4,1,1183,14701797.0,2,Unknown,No,Available,,12427.554522400676,0-5 Years
P102600,Mumbai,East,Villa,5,3,1609,12992090.0,16,Furnished,No,Available,,8074.6364201367305,11-20 Years
P102601,Kolkata,Central,Studio,5,3,1339,8764712.0,14,Unfurnished,No,Sold,2022-09-21,6545.714712471994,11-20 Years
P102602,Delhi,Central,Villa,2,1,851,31703839.0,0,Semi-Furnished,Yes,Sold,2021-08-11,37254.80493537015,0-5 Years
P102603,Hyderabad,Central,Villa,5,2,3008,16255257.0,4,Furnished,No,Sold,2021-03-31,5404.008311170212,0-5 Years
P102604,Delhi,West,Apartment,3,4,1928,31765254.0,7,Semi-Furnished,Yes,Available,,16475.754149377593,6-10 Years
P102605,Mumbai,East,Apartment,3,4,493,42378230.0,8,Semi-Furnished,No,Sold,2021-08-28,85959.8985801217,6-10 Years
P102606,Chennai,Central,Villa,2,2,1730,3328006.0,1,Semi-Furnished,No,Available,,1923.7028901734104,0-5 Years
P102607,Chennai,North,Villa,3,4,2161,10795034.0,4,Semi-Furnished,Yes,Sold,2023-12-24,4995.388246182323,0-5 Years
P102608,Kolkata,West,Villa,4,3,2964,36804453.0,3,Unknown,No,Sold,2023-06-27,12417.156882591093,0-5 Years
P102609,Mumbai,South,Studio,2,1,2288,43301295.0,11,Unfurnished,No,Available,,18925.391171328672,11-20 Years
P102610,Hyderabad,East,Villa,5,2,1353,34798487.0,18,Unfurnished,No,Sold,2021-09-07,25719.50258684405,11-20 Years
P102611,Kolkata,East,Studio,4,1,2621,10555132.0,23,Semi-Furnished,No,Sold,2023-01-05,4027.1392598244943,20+ Years
P102612,Mumbai,North,Apartment,2,4,3142,41045612.0,1,Furnished,Yes,Sold,2023-12-20,13063.530235518778,0-5 Years
P102613,Pune,South,Studio,5,4,1496,35302265.0,15,Furnished,Yes,Sold,2022-06-29,23597.770721925135,11-20 Years
P102614,Bangalore,South,Villa,5,3,1568,20666411.0,1,Unfurnished,Yes,Sold,2023-07-02,13180.109056122448,0-5 Years
P102615,Kolkata,West,Apartment,5,3,1307,16063349.0,20,Furnished,No,Available,,12290.244070390207,11-20 Years
P102616,Kolkata,East,Builder Floor,5,4,2087,8195482.0,9,Unfurnished,Yes,Available,,3926.9199808337326,6-10 Years
P102617,Hyderabad,Central,Apartment,5,4,2503,33832172.0,9,Semi-Furnished,No,Sold,2021-03-06,13516.648821414303,6-10 Years
P102618,Delhi,North,Builder Floor,2,3,3142,27177536.0,16,Unfurnished,No,Sold,2022-04-01,8649.756842775303,11-20 Years
P102619,Pune,North,Studio,3,3,1033,18800457.0,11,Furnished,Yes,Sold,2021-10-02,18199.861568247823,11-20 Years
P102620,Hyderabad,North,Apartment,5,2,2691,38053241.0,6,Unfurnished,No,Available,,14140.92939427722,6-10 Years
P102621,Mumbai,North,Apartment,4,3,3341,35434013.0,8,Unfurnished,No,Available,,10605.810535767734,6-10 Years
P102622,Mumbai,Central,Apartment,2,2,603,10866395.0,13,Furnished,Yes,Available,,18020.555555555555,11-20 Years
P102623,Mumbai,Central,Studio,1,2,415,29611644.0,17,Unfurnished,Yes,Sold,2021-11-04,71353.35903614458,11-20 Years
P102624,Mumbai,West,Villa,3,1,525,36505051.0,9,Unfurnished,No,Sold,2021-05-09,69533.43047619048,6-10 Years
P102625,Delhi,East,Studio,4,3,3046,44593962.0,15,Furnished,No,Sold,2023-04-29,14640.17137229153,11-20 Years
P102626,Pune,Central,Apartment,5,2,2913,14067587.0,0,Unfurnished,No,Sold,2021-04-10,4829.243734981119,0-5 Years
P102627,Chennai,West,Villa,2,1,3237,29864624.0,8,Semi-Furnished,No,Available,,9226.019153537225,6-10 Years
P102628,Bangalore,South,Apartment,2,1,2301,20436873.0,12,Unfurnished,No,Sold,2023-02-07,8881.735332464146,11-20 Years
P102629,Delhi,East,Apartment,5,3,3899,13405996.0,15,Furnished,Yes,Available,,3438.3164914080535,11-20 Years
P102630,Delhi,Central,Builder Floor,4,3,3822,8583390.0,15,Semi-Furnished,No,Sold,2022-11-16,2245.784929356358,11-20 Years
P102631,Chennai,South,Apartment,2,1,1978,32251297.0,1,Semi-Furnished,Yes,Sold,2024-03-19,16305.003538928211,0-5 Years
P102632,Chennai,West,Studio,3,2,478,21448424.0,8,Furnished,Yes,Sold,2024-08-08,44871.17991631799,6-10 Years
P102633,Bangalore,Central,Studio,4,3,3972,14121727.0,12,Furnished,No,Sold,2024-06-23,3555.318982880161,11-20 Years
P102634,Bangalore,Central,Studio,5,1,1188,16022073.0,7,Unfurnished,No,Sold,2021-04-22,13486.593434343435,6-10 Years
P102635,Chennai,South,Villa,4,1,1802,8464745.0,22,Semi-Furnished,Yes,Sold,2022-01-23,4697.416759156493,20+ Years
P102636,Mumbai,Central,Builder Floor,4,2,2711,22532587.0,10,Semi-Furnished,No,Sold,2021-06-29,8311.540759867208,6-10 Years
P102637,Delhi,North,Builder Floor,1,4,2752,32297054.0,16,Semi-Furnished,Yes,Sold,2021-10-25,11735.848110465116,11-20 Years
P102638,Hyderabad,Central,Apartment,5,2,1911,36654773.0,19,Furnished,Yes,Available,,19180.938252223965,11-20 Years
P102639,Bangalore,East,Apartment,3,1,3187,16412723.0,10,Unfurnished,No,Sold,2023-01-05,5149.897395669909,6-10 Years
P102640,Bangalore,South,Builder Floor,5,2,524,34241451.0,10,Furnished,Yes,Available,,65346.28053435114,6-10 Years
P102641,Chennai,East,Villa,1,3,1017,18548191.0,15,Semi-Furnished,Yes,Available,,18238.142576204522,11-20 Years
P102642,Pune,West,Studio,5,1,1141,37277846.0,6,Unfurnished,No,Available,,32671.20595968449,6-10 Years
P102643,Hyderabad,East,Apartment,5,2,480,30047783.0,21,Unfurnished,No,Sold,2022-08-20,62599.54791666667,20+ Years
P102644,Hyderabad,North,Builder Floor,3,2,3319,37311149.0,0,Furnished,No,Sold,2024-09-22,11241.683940946068,0-5 Years
P102645,Bangalore,North,Villa,1,2,2044,8523878.0,22,Semi-Furnished,Yes,Sold,2021-10-03,4170.194716242661,20+ Years
P102646,Mumbai,East,Studio,5,2,574,20744450.0,14,Semi-Furnished,No,Available,,36140.156794425086,11-20 Years
P102647,Pune,West,Apartment,5,1,1075,21461883.0,17,Semi-Furnished,No,Sold,2023-11-20,19964.542325581395,11-20 Years
P102648,Hyderabad,Central,Studio,2,2,3596,25081304.0,13,Unknown,No,Sold,2022-07-20,6974.778642936596,11-20 Years
P102649,Bangalore,North,Studio,5,3,747,25566610.0,12,Semi-Furnished,No,Available,,34225.71619812584,11-20 Years
P102650,Hyderabad,East,Builder Floor,3,4,2312,36293545.0,23,Furnished,No,Sold,2023-06-21,15697.900086505191,20+ Years
P102651,Kolkata,East,Builder Floor,2,4,1790,6676651.0,1,Unfurnished,No,Available,,3729.972625698324,0-5 Years
P102652,Pune,East,Studio,1,4,1958,44159580.0,19,Furnished,No,Sold,2024-01-25,22553.41164453524,11-20 Years
P102653,Pune,Central,Studio,4,3,1838,16982226.0,21,Unfurnished,Yes,Sold,2024-05-09,9239.513601741022,20+ Years
P102654,Kolkata,South,Apartment,3,4,3325,40801873.0,23,Unknown,No,Sold,2022-05-05,12271.24,20+ Years
P102655,Delhi,West,Villa,1,1,3290,36501541.0,10,Semi-Furnished,Yes,Available,,11094.693313069909,6-10 Years
P102656,Kolkata,South,Villa,2,1,3021,33963793.0,18,Unfurnished,Yes,Available,,11242.566368752068,11-20 Years
P102657,Chennai,West,Studio,4,3,1123,23078843.0,21,Furnished,Yes,Sold,2021-04-29,20551.06233303651,20+ Years
P102658,Chennai,West,Builder Floor,1,3,1675,18668776.0,5,Unfurnished,No,Available,,11145.537910447762,0-5 Years
P102659,Bangalore,East,Villa,3,1,1007,26855485.0,16,Unfurnished,Yes,Sold,2022-04-30,26668.803376365442,11-20 Years
P102660,Pune,North,Studio,2,3,3016,21482956.0,21,Semi-Furnished,No,Sold,2022-05-21,7122.9960212201595,20+ Years
P102661,Delhi,East,Builder Floor,3,3,2681,36977036.0,0,Unknown,No,Available,,13792.255128683328,0-5 Years
P102662,Delhi,Central,Apartment,3,1,757,24435490.0,24,Furnished,No,Available,,32279.379128137385,20+ Years
P102663,Hyderabad,West,Villa,2,1,3797,4157571.0,19,Unfurnished,No,Available,,1094.9620753226231,11-20 Years
P102664,Hyderabad,North,Apartment,5,2,1488,41996562.0,4,Furnished,Yes,Sold,2022-01-01,28223.495967741936,0-5 Years
P102665,Kolkata,West,Builder Floor,3,2,692,41154934.0,0,Semi-Furnished,No,Available,,59472.44797687861,0-5 Years
P102666,Delhi,West,Studio,2,4,1747,4733661.0,12,Unfurnished,Yes,Sold,2023-08-27,2709.5941614195763,11-20 Years
P102667,Kolkata,East,Apartment,3,3,1390,13288607.0,0,Furnished,Yes,Sold,2023-07-10,9560.14892086331,0-5 Years
P102668,Kolkata,North,Studio,5,1,3802,10895978.0,11,Unfurnished,Yes,Sold,2024-07-19,2865.8542872172543,11-20 Years
P102669,Hyderabad,North,Villa,2,4,2976,26115208.0,8,Unfurnished,No,Sold,2023-12-08,8775.271505376344,6-10 Years
P102670,Pune,West,Apartment,1,2,2582,17297921.0,21,Semi-Furnished,No,Sold,2023-02-13,6699.427188226181,20+ Years
P102671,Kolkata,North,Villa,1,3,1219,30182803.0,12,Unfurnished,Yes,Sold,2024-03-02,24760.297785069728,11-20 Years
P102672,Mumbai,North,Villa,1,4,3890,43985626.0,9,Unfurnished,Yes,Sold,2023-03-15,11307.358868894602,6-10 Years
P102673,Pune,East,Villa,4,3,529,24681507.0,15,Semi-Furnished,No,Available,,46656.913043478264,11-20 Years
P102674,Delhi,South,Villa,3,4,2359,27477714.0,5,Unfurnished,Yes,Available,,11648.034760491733,0-5 Years
P102675,Delhi,Central,Villa,3,3,3016,39514319.0,20,Semi-Furnished,Yes,Available,,13101.564655172413,11-20 Years
P102676,Kolkata,South,Builder Floor,2,3,3828,21015001.0,21,Unfurnished,No,Sold,2024-08-11,5489.812173458725,20+ Years
P102677,Pune,North,Apartment,4,1,2969,32242513.0,7,Furnished,Yes,Sold,2023-03-17,10859.721455035366,6-10 Years
P102678,Hyderabad,West,Studio,3,3,2907,21132635.0,22,Furnished,Yes,Sold,2021-10-25,7269.568283453732,20+ Years
P102679,Hyderabad,Central,Studio,2,2,992,21777966.0,6,Furnished,Yes,Sold,2021-12-04,21953.594758064515,6-10 Years
P102680,Chennai,Central,Builder Floor,5,1,3389,19937576.0,24,Semi-Furnished,Yes,Sold,2023-12-29,5883.026261434052,20+ Years
P102681,Delhi,West,Studio,3,3,3348,28970580.0,24,Semi-Furnished,No,Sold,2021-10-18,8653.100358422938,20+ Years
P102682,Bangalore,Central,Studio,3,2,2324,14099805.0,12,Semi-Furnished,Yes,Available,,6067.0417383820995,11-20 Years
P102683,Chennai,West,Studio,5,2,2055,31842792.0,24,Unknown,Yes,Sold,2022-09-03,15495.275912408759,20+ Years
P102684,Hyderabad,Central,Apartment,5,4,1013,24081773.0,16,Semi-Furnished,No,Available,,23772.72754195459,11-20 Years
P102685,Pune,South,Studio,3,1,1918,12235295.0,11,Semi-Furnished,No,Available,,6379.1944734098015,11-20 Years
P102686,Hyderabad,Central,Apartment,5,1,938,38892317.0,10,Unfurnished,No,Available,,41463.024520255865,6-10 Years
P102687,Pune,East,Studio,2,4,660,5770107.0,5,Furnished,Yes,Available,,8742.586363636363,0-5 Years
P102688,Chennai,West,Studio,3,4,3607,4150039.0,14,Semi-Furnished,Yes,Sold,2024-10-08,1150.551427779318,11-20 Years
P102689,Delhi,Central,Apartment,3,4,3056,10628233.0,4,Unfurnished,No,Sold,2021-06-22,3477.824934554974,0-5 Years
P102690,Hyderabad,West,Builder Floor,1,1,2084,21875863.0,15,Unfurnished,No,Available,,10497.05518234165,11-20 Years
P102691,Kolkata,East,Studio,3,2,1650,13151680.0,23,Semi-Furnished,No,Sold,2021-03-14,7970.715151515152,20+ Years
P102692,Pune,Central,Villa,1,2,2212,15028275.0,10,Furnished,Yes,Sold,2023-05-24,6793.976039783001,6-10 Years
P102693,Delhi,Central,Villa,5,3,2242,29566434.0,9,Semi-Furnished,No,Sold,2024-05-15,13187.526315789473,6-10 Years
P102694,Bangalore,East,Builder Floor,5,1,2270,32400580.0,7,Furnished,No,Sold,2021-11-01,14273.383259911894,6-10 Years
P102695,Pune,East,Villa,2,1,627,3292766.0,23,Furnished,Yes,Available,,5251.620414673046,20+ Years
P102696,Chennai,East,Apartment,1,4,3208,4466732.0,4,Semi-Furnished,No,Sold,2021-06-27,1392.3728179551122,0-5 Years
P102697,Bangalore,West,Studio,3,1,2705,11969252.0,9,Furnished,Yes,Sold,2024-04-24,4424.862107208873,6-10 Years
P102698,Bangalore,East,Studio,1,1,1837,23795510.0,9,Furnished,Yes,Available,,12953.462166575939,6-10 Years
P102699,Mumbai,West,Studio,5,2,3273,43517994.0,0,Furnished,Yes,Sold,2023-01-05,13296.056828597617,0-5 Years
P102700,Hyderabad,South,Studio,5,1,3691,16962608.0,12,Semi-Furnished,No,Available,,4595.667298835004,11-20 Years
P102701,Pune,Central,Villa,2,2,1659,33200130.0,19,Furnished,Yes,Sold,2022-07-25,20012.133815551537,11-20 Years
P102702,Bangalore,Central,Villa,5,2,1443,30902709.0,22,Furnished,Yes,Available,,21415.59875259875,20+ Years
P102703,Mumbai,North,Villa,1,1,2871,15954917.0,17,Unfurnished,Yes,Available,,5557.268199233717,11-20 Years
P102704,Chennai,South,Apartment,3,2,2860,20066927.0,22,Semi-Furnished,No,Sold,2021-05-21,7016.408041958042,20+ Years
P102705,Delhi,East,Villa,3,4,3860,34881924.0,4,Furnished,No,Sold,2022-09-14,9036.767875647669,0-5 Years
P102706,Kolkata,East,Villa,1,2,2792,15236435.0,15,Semi-Furnished,No,Available,,5457.175859598854,11-20 Years
P102707,Kolkata,South,Studio,2,1,3097,43555786.0,5,Semi-Furnished,No,Available,,14063.863739102357,0-5 Years
P102708,Pune,East,Villa,3,4,2914,43607606.0,21,Unfurnished,No,Sold,2021-03-20,14964.861358956761,20+ Years
P102709,Bangalore,North,Builder Floor,1,4,588,38970385.0,20,Unfurnished,Yes,Sold,2023-12-10,66276.16496598639,11-20 Years
P102710,Kolkata,West,Builder Floor,1,1,2040,14514330.0,9,Furnished,No,Available,,7114.867647058823,6-10 Years
P102711,Hyderabad,Central,Studio,5,3,3839,33007467.0,6,Furnished,No,Sold,2021-01-23,8597.9335764522,6-10 Years
P102712,Kolkata,South,Villa,5,2,1808,38471660.0,19,Furnished,No,Available,,21278.57300884956,11-20 Years
P102713,Kolkata,Central,Builder Floor,2,2,2366,42450772.0,15,Unknown,No,Sold,2024-01-08,17942.0,11-20 Years
P102714,Kolkata,West,Builder Floor,2,3,3569,24094323.0,0,Unfurnished,Yes,Sold,2021-05-23,6751.001120762118,0-5 Years
P102715,Mumbai,South,Apartment,2,4,3400,17315400.0,24,Unfurnished,Yes,Sold,2023-01-05,5092.764705882353,20+ Years
P102716,Bangalore,West,Studio,1,3,2717,18366841.0,6,Furnished,No,Sold,2024-10-17,6759.970923813029,6-10 Years
P102717,Hyderabad,East,Builder Floor,1,1,1064,31670368.0,24,Unknown,Yes,Sold,2023-09-15,29765.38345864662,20+ Years
P102718,Bangalore,East,Builder Floor,5,3,1641,13627328.0,11,Semi-Furnished,No,Sold,2023-01-05,8304.282754418038,11-20 Years
P102719,Pune,East,Studio,3,4,420,30199186.0,24,Furnished,No,Available,,71902.8238095238,20+ Years
P102720,Pune,West,Villa,2,1,3743,35301570.0,22,Unfurnished,No,Available,,9431.357200106866,20+ Years
P102721,Pune,West,Studio,4,1,3161,20179302.0,14,Furnished,Yes,Available,,6383.834862385321,11-20 Years
P102722,Chennai,West,Apartment,2,1,1583,32732747.0,1,Semi-Furnished,No,Sold,2024-10-12,20677.66708780796,0-5 Years
P102723,Kolkata,Central,Apartment,5,2,1915,36657743.0,17,Semi-Furnished,No,Sold,2023-02-12,19142.42454308094,11-20 Years
P102724,Chennai,West,Apartment,1,2,828,35385228.0,3,Furnished,No,Available,,42735.782608695656,0-5 Years
P102725,Mumbai,East,Builder Floor,5,1,3023,38386033.0,24,Furnished,Yes,Sold,2023-07-16,12697.993053258353,20+ Years
P102726,Pune,North,Villa,5,3,3043,33146903.0,12,Unfurnished,No,Sold,2023-01-14,10892.837002957607,11-20 Years
P102727,Hyderabad,West,Apartment,5,2,3032,36046042.0,22,Semi-Furnished,Yes,Sold,2023-03-07,11888.536279683378,20+ Years
P102728,Bangalore,North,Studio,4,4,3465,38242012.0,8,Semi-Furnished,No,Sold,2024-08-12,11036.6556998557,6-10 Years
P102729,Kolkata,East,Apartment,4,2,2289,18019383.0,3,Unknown,Yes,Sold,2021-11-05,7872.16382699869,0-5 Years
P102730,Delhi,West,Builder Floor,2,3,1390,18411304.0,8,Unfurnished,Yes,Available,,13245.542446043166,6-10 Years
P102731,Hyderabad,Central,Apartment,1,2,3106,14720371.0,22,Furnished,No,Sold,2023-01-05,4739.333869929169,20+ Years
P102732,Kolkata,Central,Villa,5,3,3518,5102935.0,23,Furnished,Yes,Sold,2024-11-02,1450.5216031836271,20+ Years
P102733,Chennai,North,Apartment,3,3,622,41554912.0,0,Furnished,No,Available,,66808.54019292604,0-5 Years
P102734,Chennai,Central,Villa,2,2,1359,31770793.0,24,Semi-Furnished,No,Available,,23378.066961000735,20+ Years
P102735,Hyderabad,Central,Villa,2,3,557,32052592.0,7,Furnished,Yes,Sold,2022-04-12,57545.04847396768,6-10 Years
P102736,Chennai,Central,Studio,5,3,3518,35559084.0,0,Furnished,Yes,Sold,2022-04-10,10107.755542922116,0-5 Years
P102737,Pune,East,Villa,2,4,2407,35823111.0,15,Unfurnished,Yes,Sold,2022-07-07,14882.887827170753,11-20 Years
P102738,Mumbai,Central,Builder Floor,5,1,1200,37890355.0,23,Furnished,Yes,Sold,2024-08-25,31575.295833333334,20+ Years
P102739,Bangalore,South,Builder Floor,2,1,1121,4378951.0,14,Unfurnished,Yes,Sold,2024-06-17,3906.2899197145407,11-20 Years
P102740,Mumbai,West,Villa,1,2,3822,10893356.0,14,Furnished,Yes,Sold,2024-08-31,2850.1716378859237,11-20 Years
P102741,Kolkata,Central,Villa,2,3,2766,27576677.0,4,Semi-Furnished,Yes,Available,,9969.875994215474,0-5 Years
P102742,Bangalore,Central,Apartment,2,2,1654,28574627.0,18,Furnished,No,Sold,2021-03-19,17276.074365175333,11-20 Years
P102743,Bangalore,Central,Apartment,3,2,2745,35501381.0,23,Semi-Furnished,No,Sold,2022-08-14,12933.107832422587,20+ Years
P102744,Mumbai,South,Studio,1,1,844,38329715.0,10,Furnished,No,Sold,2022-03-09,45414.35426540284,6-10 Years
P102745,Hyderabad,Central,Apartment,1,3,504,16184289.0,18,Semi-Furnished,Yes,Available,,32111.684523809523,11-20 Years
P102746,Bangalore,Central,Builder Floor,1,2,2061,31577097.0,23,Semi-Furnished,Yes,Sold,2023-09-07,15321.25036390102,20+ Years
P102747,Mumbai,West,Apartment,2,2,1282,35488286.0,20,Furnished,No,Sold,2021-01-03,27681.970358814353,11-20 Years
P102748,Bangalore,South,Studio,4,1,1722,35178730.0,23,Unfurnished,No,Available,,20428.995354239258,20+ Years
P102749,Delhi,South,Studio,2,1,1491,30566882.0,2,Semi-Furnished,No,Sold,2024-12-16,20500.926894701544,0-5 Years
P102750,Hyderabad,Central,Villa,5,1,937,37120095.0,21,Semi-Furnished,Yes,Sold,2024-04-06,39615.896478121664,20+ Years
P102751,Pune,South,Studio,3,2,3120,34992752.0,21,Furnished,No,Sold,2023-08-26,11215.625641025641,20+ Years
P102752,Bangalore,North,Villa,1,3,2043,10615994.0,3,Unfurnished,Yes,Sold,2023-11-14,5196.277043563387,0-5 Years
P102753,Delhi,South,Builder Floor,5,1,1200,40075289.0,20,Semi-Furnished,No,Sold,2023-07-06,33396.074166666665,11-20 Years
P102754,Pune,South,Builder Floor,5,1,3264,36769429.0,15,Furnished,Yes,Sold,2021-11-16,11265.14368872549,11-20 Years
P102755,Pune,South,Apartment,4,3,1464,40391151.0,11,Unknown,Yes,Available,,27589.58401639344,11-20 Years
P102756,Kolkata,East,Studio,1,2,3671,23907996.0,6,Furnished,Yes,Sold,2021-01-28,6512.665758648869,6-10 Years
P102757,Bangalore,East,Builder Floor,2,2,1971,32225139.0,0,Furnished,Yes,Sold,2022-11-23,16349.639269406392,0-5 Years
P102758,Mumbai,East,Villa,1,3,3415,39311253.0,23,Unfurnished,Yes,Sold,2023-06-12,11511.347877013177,20+ Years
P102759,Bangalore,South,Studio,3,1,3310,3383413.0,10,Furnished,No,Sold,2022-08-22,1022.1791540785498,6-10 Years
